system:index,EVI,LC_Type1,NDVI,sur_refl_b01,sur_refl_b02,sur_refl_b03,sur_refl_b07,year,.geo
0_271,3728.391304347826,2,6469.826086956522,816.2608695652174,2918.0434782608695,714.0434782608696,725.2173913043479,2001,"{""type"":""Point"",""coordinates"":[115.53395527845866,2.6592552699249974]}"
0_275,5091.695652173913,8,7638.695652173913,496.9130434782609,3390.217391304348,347.9130434782609,730.3478260869565,2001,"{""type"":""Point"",""coordinates"":[99.82551371318313,1.7771031251183573]}"
0_277,4303.391304347826,2,7187.217391304348,621.2608695652174,3066.8260869565215,533.3913043478261,620.6086956521739,2001,"{""type"":""Point"",""coordinates"":[117.06263968575362,4.704921751679114]}"
0_280,5378.826086956522,2,7768.434782608696,460.1304347826087,3470.391304347826,381.30434782608694,634.7826086956521,2001,"{""type"":""Point"",""coordinates"":[103.43928195676061,2.03628351925045]}"
0_284,3833.304347826087,2,6151.521739130435,819.1739130434783,2937.521739130435,731.3913043478261,776.6521739130435,2001,"{""type"":""Point"",""coordinates"":[114.13209643965986,1.7940615756617053]}"
0_286,4523.95652173913,2,7273.434782608696,525.0,3052.1739130434785,456.39130434782606,608.8695652173913,2001,"{""type"":""Point"",""coordinates"":[114.55705029340497,4.168330214435471]}"
0_287,4143.826086956522,2,6622.695652173913,745.695652173913,2988.9565217391305,712.9130434782609,776.0434782608696,2001,"{""type"":""Point"",""coordinates"":[115.46161945998725,4.304424533692363]}"
0_288,5156.565217391304,2,7525.869565217391,522.5652173913044,3469.0,437.60869565217394,619.8260869565217,2001,"{""type"":""Point"",""coordinates"":[100.87847665605001,3.8346400495604476]}"
0_290,5346.086956521739,2,8014.565217391304,418.0,3466.7391304347825,323.7391304347826,571.4347826086956,2001,"{""type"":""Point"",""coordinates"":[116.50083312418244,4.201340307989903]}"
0_294,3895.521739130435,2,6813.086956521739,695.5652173913044,2829.086956521739,421.2173913043478,559.2173913043479,2001,"{""type"":""Point"",""coordinates"":[113.45818002601882,3.176661264388127]}"
0_298,5190.260869565217,8,7130.04347826087,636.7391304347826,3581.8260869565215,515.2608695652174,736.6086956521739,2001,"{""type"":""Point"",""coordinates"":[109.98255737840796,1.485334274005881]}"
0_301,5658.173913043478,2,8314.869565217392,386.2173913043478,3569.9565217391305,235.17391304347825,654.0869565217391,2001,"{""type"":""Point"",""coordinates"":[102.1481704317856,5.540315323318557]}"
0_302,4768.608695652174,2,7091.782608695652,632.4782608695652,3299.304347826087,565.695652173913,746.0434782608696,2001,"{""type"":""Point"",""coordinates"":[112.5055246214837,1.7954867876029545]}"
0_307,3697.0434782608695,2,6476.0,708.2173913043479,2809.5652173913045,579.695652173913,747.8695652173913,2001,"{""type"":""Point"",""coordinates"":[116.23852301100465,0.9427384491159446]}"
0_312,4166.565217391304,2,6893.434782608696,672.3478260869565,2989.6521739130435,568.0434782608696,582.6521739130435,2001,"{""type"":""Point"",""coordinates"":[117.28691641225551,2.5187224024421306]}"
